itemNo,realWord,viableNonce,unviableNonce
O1,band,fland,fnand
O2,desk,clesk,cpesk
O3,cog,scrog,crsog
O4,mug,skug,ksug
O5,shell,grell,rgell
O6,judge,spudge,psudge
O7,sack,glack,lgack
O8,pin,frin,fvin
O9,car,trar,tnar
O10,pants,swants,wsants
O11,trip,glip,lgip
O12,man,dwan,wdan
O13,cup,stup,tsup
O14,clam,fram,rfam
015,rag,smag,msag
O16,frog,krog,rkog
O17,skin,klin,kdin
O18,pump,crump,csump
O19,can,kran,kgan
O20,cake,swake,szake
O21,lad,plad,pnad
O22,cow,spow,sgow
O23,cave,chave,cfave
O24,hill,kwill,ksill
O25,horn,smorn,msorn
O26,match,tratch,tdatch
O27,salt,dralt,rdalt
